Date,Close
2/14/2024,72.09
2/15/2024,70.35
2/16/2024,57.53
2/19/2024,49.75
2/20/2024,36.94
2/21/2024,42.02
2/22/2024,50.54
2/23/2024,62.45
2/26/2024,52.09
2/27/2024,58.57
2/28/2024,63.38
2/29/2024,52.67
3/1/2024,64.15
3/4/2024,78.18
3/5/2024,69.77
3/6/2024,83.34
3/7/2024,80.29
3/8/2024,79.91
3/11/2024,94.6
3/12/2024,100
3/13/2024,89.84
3/14/2024,87.79
3/15/2024,88.26
3/18/2024,83.43
3/19/2024,74.3
3/20/2024,68.86
3/21/2024,75.52
3/22/2024,61.11
3/25/2024,62.73
3/26/2024,60.94
3/27/2024,46.49
3/28/2024,41.43
3/29/2024,45.15
4/1/2024,45.52
4/2/2024,32.45
4/3/2024,47.0
4/4/2024,55.65
4/5/2024,69.8
4/8/2024,57.94
4/9/2024,50.91
4/10/2024,37.1
4/11/2024,45.47
4/12/2024,38.58
4/15/2024,27.47
4/16/2024,25.14
4/17/2024,37.48
4/18/2024,47.05
4/19/2024,39.81
4/22/2024,29.29
4/23/2024,41.86
4/24/2024,43.98
4/25/2024,49.99
4/26/2024,37.68
4/29/2024,24.4
4/30/2024,30.05
5/1/2024,27.81
5/2/2024,14.98
5/3/2024,28.13
5/6/2024,32.16
5/7/2024,41.21
5/8/2024,28.72
5/9/2024,39.41
5/10/2024,26.41
5/13/2024,37.29
5/14/2024,35.91
5/15/2024,31.08
5/16/2024,32.67
5/17/2024,45.47
5/20/2024,38.51
5/21/2024,27.39
5/22/2024,28.19
5/23/2024,20.35
5/24/2024,8.63
5/27/2024,-1.53
5/28/2024,-15.02
5/29/2024,-23.96
5/30/2024,-29.6
5/31/2024,-35.45
6/3/2024,-27.67
6/4/2024,-33.97
6/5/2024,-33.97
6/6/2024,-43.63
6/7/2024,-48.22
6/10/2024,-62.67
6/11/2024,-70.16
6/12/2024,-84.7
6/13/2024,-77.71
6/14/2024,-76.18
6/17/2024,-85.49
6/18/2024,-86.25
6/19/2024,-73.21
6/20/2024,-85.02
6/21/2024,-75.45
6/24/2024,-77.49
6/25/2024,-77.64
6/26/2024,-67.6
6/27/2024,-70.81
6/28/2024,-70.61
7/1/2024,-64.98
7/2/2024,-50.5
7/3/2024,-55.22
7/4/2024,-45.25
7/5/2024,-39.05
7/8/2024,-34.97
7/9/2024,-37.83
7/10/2024,-42.4
7/11/2024,-55.77
7/12/2024,-66.88
7/15/2024,-79.76
7/16/2024,-72.53
7/17/2024,-79.86
7/18/2024,-89.96
7/19/2024,-100
7/22/2024,-89.76
7/23/2024,-78.65
7/24/2024,-73.53
7/25/2024,-80.07
7/26/2024,-87.81
7/29/2024,-94.01
7/30/2024,-95.23
7/31/2024,-100
8/1/2024,-100
8/2/2024,-100
8/5/2024,-86.15
8/6/2024,-71.97
8/7/2024,-70.56
8/8/2024,-78.22
8/9/2024,-64.25
8/12/2024,-69.97
8/13/2024,-74.27
8/14/2024,-89.24
8/15/2024,-92.79
8/16/2024,-93.55
8/19/2024,-93.47
8/20/2024,-100
8/21/2024,-99.86
8/22/2024,-100
8/23/2024,-100
8/26/2024,-100
8/27/2024,-100
8/28/2024,-100
8/29/2024,-100
8/30/2024,-100
9/2/2024,-100
9/3/2024,-97.43
9/4/2024,-96.56
9/5/2024,-89.04
9/6/2024,-84.31
9/9/2024,-77.83
9/10/2024,-66.46
9/11/2024,-69.78
9/12/2024,-74.99
9/13/2024,-60.45
9/16/2024,-70.97
9/17/2024,-64.24
9/18/2024,-59.95
9/19/2024,-73.63
9/20/2024,-63.57
9/23/2024,-51.81
9/24/2024,-47.99
9/25/2024,-40.98
9/26/2024,-31.61
9/27/2024,-42.43
9/30/2024,-41.72
10/1/2024,-41.59
10/2/2024,-31.54
10/3/2024,-22.4
10/4/2024,-12.61
10/7/2024,-10.09
10/8/2024,1.7
10/9/2024,7.18
10/10/2024,12.98
10/11/2024,4.88
10/14/2024,-9.18
10/15/2024,-20.19
10/16/2024,-24.37
10/17/2024,-36.22
10/18/2024,-26.15
10/21/2024,-24.39
10/22/2024,-20.56
10/23/2024,-16.77
10/24/2024,-11.35
10/25/2024,-11.67
10/28/2024,-26.57
10/29/2024,-17.64
10/30/2024,-10.19
10/31/2024,-10.1
11/1/2024,-9.05
11/4/2024,-4.27
11/5/2024,-17.29
11/6/2024,-10.18
11/7/2024,-17.62
11/8/2024,-30.38
11/11/2024,-37.42
11/12/2024,-30.54
11/13/2024,-39.38
11/14/2024,-32.19
11/15/2024,-17.91
11/18/2024,-18.1
11/19/2024,-21.62
11/20/2024,-22.25
11/21/2024,-16.74
11/22/2024,-8.73
11/25/2024,-5.22
11/26/2024,-0.94
11/27/2024,-13.61
11/28/2024,-24.19
11/29/2024,-31.57
12/2/2024,-24.28
12/3/2024,-30.14
12/4/2024,-28.11
12/5/2024,-42.74
12/6/2024,-55.92
12/9/2024,-62.85
12/10/2024,-57.69
12/11/2024,-51.93
12/12/2024,-46.66
12/13/2024,-52.93
12/16/2024,-52.43
12/17/2024,-53.49
12/18/2024,-54.5
12/19/2024,-65.95
12/20/2024,-54.14
12/23/2024,-63.16
12/24/2024,-48.82
12/25/2024,-35.73
12/26/2024,-50.21
12/27/2024,-51.44
12/30/2024,-41.84
12/31/2024,-27.8
